"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","登录","登陆界面测试","0","0","1","0","0"
"","信息查询","顾客查询界面测试","0","0","1","0","0"
"","录入顾客信息","录入信息界面测试","0","0","1","0","0"
"","删除顾客信息","删除药品界面测试","0","0","1","0","0"
"","信息查询","顾客浏览界面测试","0","0","1","0","0"
"","信息查询","药品查询界面测试","0","0","1","0","0"
"","信息查询","经办人查询界面测试","0","0","1","0","0"
"","录入顾客信息","录入药品人界面测试","0","0","1","0","0"
"","删除顾客信息","删除经办人界面测试","0","0","1","0","0"
"","删除顾客信息","删除顾客界面测试","0","0","1","0","0"
"","录入顾客信息","录入经办人界面测试","0","0","1","0","0"
