"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 19:42:57 CST 2022","Thu Jun 23 19:43:06 CST 2022","8621","test_scripts","test_1_login_page","TestLoginPage","","","test_login[admir-1234]",""
"passed","Thu Jun 23 19:43:06 CST 2022","Thu Jun 23 19:43:11 CST 2022","4842","test_scripts","test_2_chaxun","TestchaxunPage","","","test_chaxun_guke[guke0]",""
"passed","Thu Jun 23 19:43:21 CST 2022","Thu Jun 23 19:43:36 CST 2022","14415","test_scripts","test_3_luru","Test_luru_Page","","","test_luru_guke[25-小强-15-15716234578-1000055-2012-9-8-1000007667-地址无-症状无-备注无]",""
"passed","Thu Jun 23 19:44:11 CST 2022","Thu Jun 23 19:45:13 CST 2022","62352","test_scripts","test_4_shanchu","Test_shanchuPage","","","test_shanchu_yaop",""
"passed","Thu Jun 23 19:45:13 CST 2022","Thu Jun 23 19:46:20 CST 2022","66623","test_scripts","test_5_liulan","TestliulanPage","","","test_liulan_guke",""
"passed","Thu Jun 23 19:43:16 CST 2022","Thu Jun 23 19:43:21 CST 2022","4691","test_scripts","test_2_chaxun","TestchaxunPage","","","test_chaxun_yaop[yaop0]",""
"passed","Thu Jun 23 19:43:11 CST 2022","Thu Jun 23 19:43:16 CST 2022","5773","test_scripts","test_2_chaxun","TestchaxunPage","","","test_chaxun_pope[pope0]",""
"passed","Thu Jun 23 19:43:44 CST 2022","Thu Jun 23 19:43:52 CST 2022","7737","test_scripts","test_3_luru","Test_luru_Page","","","test_luru_yaop[157877-当归-可以无敌]",""
"passed","Thu Jun 23 19:43:58 CST 2022","Thu Jun 23 19:44:11 CST 2022","12916","test_scripts","test_4_shanchu","Test_shanchuPage","","","test_shanchu_pope",""
"passed","Thu Jun 23 19:43:52 CST 2022","Thu Jun 23 19:43:58 CST 2022","5541","test_scripts","test_4_shanchu","Test_shanchuPage","","","test_shanchu_guke",""
"passed","Thu Jun 23 19:43:36 CST 2022","Thu Jun 23 19:43:44 CST 2022","8848","test_scripts","test_3_luru","Test_luru_Page","","","test_luru_pope[25-襄王-15712345678-备注无]",""
